2 | 23,69 | 23,69 | 23,69 | 23,69
3 | 25,54 | 25,54 | 25,54 | 25,54
1 | 28,00 | 28,00 | 28,00 | 28,00
2 | 25,69 | 25,69 | 25,69 | 25,69
1 | 27,54 | 27,54 | 27,54 | 27,54
2 | 22,62 | 22,62 | 22,62 | 22,62
3 | 23,38 | 23,38 | 23,38 | 23,38
3 | 24,00 | 24,00 | 24,00 | 24,00
3 | 25,38 | 25,38 | 25,38 | 25,38
3 | 25,08 | 25,08 | 25,08 | 25,08
1 | 26,46 | 26,46 | 26,46 | 26,46
1 | 29,54 | 29,54 | 29,54 | 29,54
2 | 23,23 | 23,23 | 23,23 | 23,23
2 | 24,62 | 24,62 | 24,62 | 24,62
2 | 24,62 | 24,62 | 24,62 | 24,62
4 | 25,23 | 25,23 | 25,23 | 25,23
2 | 25,54 | 25,54 | 25,54 | 25,54
1 | 26,77 | 26,77 | 26,77 | 26,77
3 | 24,31 | 24,31 | 24,31 | 24,31
3 | 23,23 | 23,23 | 23,23 | 23,23
1 | 28,31 | 28,31 | 28,31 | 28,31
2 | 24,62 | 24,62 | 24,62 | 24,62
3 | 22,62 | 22,62 | 22,62 | 22,62
1 | 26,46 | 26,46 | 26,46 | 26,46
3 | 25,85 | 25,85 | 25,85 | 25,85
4 | 22,92 | 22,92 | 22,92 | 22,92
1 | 26,31 | 26,31 | 26,31 | 26,31
2 | 25,23 | 25,23 | 25,23 | 25,23
4 | 22,62 | 22,62 | 22,62 | 22,62
3 | 24,15 | 24,15 | 24,15 | 24,15
1 | 29,23 | 29,23 | 29,23 | 29,23
3 | 24,46 | 24,46 | 24,46 | 24,46
4 | 25,08 | 25,08 | 25,08 | 25,08
3 | 24,77 | 24,77 | 24,77 | 24,77
2 | 23,23 | 23,23 | 23,23 | 23,23
4 | 23,38 | 23,38 | 23,38 | 23,38
2 | 23,69 | 23,69 | 23,69 | 23,69
1 | 27,85 | 27,85 | 27,85 | 27,85
1 | 26,15 | 26,15 | 26,15 | 26,15
3 | 25,08 | 25,08 | 25,08 | 25,08
3 | 24,62 | 24,62 | 24,62 | 24,62
2 | 25,54 | 25,54 | 25,54 | 25,54
2 | 25,69 | 25,69 | 25,69 | 25,69
3 | 24,62 | 24,62 | 24,62 | 24,62
4 | 24,15 | 24,15 | 24,15 | 24,15
3 | 24,15 | 24,15 | 24,15 | 24,15
3 | 23,85 | 23,85 | 23,85 | 23,85
3 | 23,08 | 23,08 | 23,08 | 23,08
1 | 30,00 | 30,00 | 30,00 | 30,00
3 | 24,00 | 24,00 | 24,00 | 24,00
2 | 23,85 | 23,85 | 23,85 | 23,85
1 | 26,92 | 26,92 | 26,92 | 26,92
2 | 24,31 | 24,31 | 24,31 | 24,31
3 | 25,23 | 25,23 | 25,23 | 25,23
4 | 24,46 | 24,46 | 24,46 | 24,46
4 | 25,08 | 25,08 | 25,08 | 25,08
2 | 22,15 | 22,15 | 22,15 | 22,15
4 | 24,31 | 24,31 | 24,31 | 24,31
3 | 23,38 | 23,38 | 23,38 | 23,38
3 | 23,85 | 23,85 | 23,85 | 23,85
2 | 26,00 | 26,00 | 26,00 | 26,00
1 | 28,15 | 28,15 | 28,15 | 28,15
3 | 26,46 | 26,46 | 26,46 | 26,46
2 | 24,77 | 24,77 | 24,77 | 24,77
2 | 26,15 | 26,15 | 26,15 | 26,15
3 | 24,62 | 24,62 | 24,62 | 24,62
1 | 25,69 | 25,69 | 25,69 | 25,69
2 | 23,23 | 23,23 | 23,23 | 23,23
2 | 24,31 | 24,31 | 24,31 | 24,31
3 | 24,00 | 24,00 | 24,00 | 24,00
3 | 23,54 | 23,54 | 23,54 | 23,54
4 | 24,46 | 24,46 | 24,46 | 24,46
4 | 25,54 | 25,54 | 25,54 | 25,54
2 | 24,46 | 24,46 | 24,46 | 24,46
3 | 26,77 | 26,77 | 26,77 | 26,77
3 | 24,15 | 24,15 | 24,15 | 24,15
2 | 23,08 | 23,08 | 23,08 | 23,08
3 | 24,62 | 24,62 | 24,62 | 24,62
3 | 24,00 | 24,00 | 24,00 | 24,00
3 | 22,31 | 22,31 | 22,31 | 22,31
2 | 26,00 | 26,00 | 26,00 | 26,00
3 | 22,92 | 22,92 | 22,92 | 22,92
4 | 24,77 | 24,77 | 24,77 | 24,77
2 | 24,46 | 24,46 | 24,46 | 24,46
2 | 22,77 | 22,77 | 22,77 | 22,77
4 | 23,54 | 23,54 | 23,54 | 23,54
4 | 25,54 | 25,54 | 25,54 | 25,54
3 | 22,31 | 22,31 | 22,31 | 22,31
4 | 24,92 | 24,92 | 24,92 | 24,92
3 | 23,85 | 23,85 | 23,85 | 23,85
3 | 24,77 | 24,77 | 24,77 | 24,77
3 | 24,46 | 24,46 | 24,46 | 24,46
2 | 24,00 | 24,00 | 24,00 | 24,00
2 | 25,69 | 25,69 | 25,69 | 25,69
1 | 28,31 | 28,31 | 28,31 | 28,31
2 | 23,69 | 23,69 | 23,69 | 23,69
1 | 26,46 | 26,46 | 26,46 | 26,46
4 | 25,08 | 25,08 | 25,08 | 25,08
1 | 25,85 | 25,85 | 25,85 | 25,85
4 | 24,92 | 24,92 | 24,92 | 24,92
4 | 24,92 | 24,92 | 24,92 | 24,92
4 | 25,38 | 25,38 | 25,38 | 25,38
2 | 26,15 | 26,15 | 26,15 | 26,15
1 | 26,46 | 26,46 | 26,46 | 26,46
1 | 28,92 | 28,92 | 28,92 | 28,92
1 | 27,23 | 27,23 | 27,23 | 27,23
3 | 23,69 | 23,69 | 23,69 | 23,69
4 | 22,92 | 22,92 | 22,92 | 22,92
4 | 23,23 | 23,23 | 23,23 | 23,23
1 | 26,46 | 26,46 | 26,46 | 26,46
3 | 21,69 | 21,69 | 21,69 | 21,69
1 | 26,00 | 26,00 | 26,00 | 26,00
1 | 26,31 | 26,31 | 26,31 | 26,31
1 | 26,15 | 26,15 | 26,15 | 26,15
4 | 24,46 | 24,46 | 24,46 | 24,46
4 | 26,15 | 26,15 | 26,15 | 26,15
2 | 21,69 | 21,69 | 21,69 | 21,69
2 | 23,08 | 23,08 | 23,08 | 23,08
4 | 25,23 | 25,23 | 25,23 | 25,23
4 | 23,85 | 23,85 | 23,85 | 23,85
2 | 25,23 | 25,23 | 25,23 | 25,23
4 | 25,38 | 25,38 | 25,38 | 25,38
1 | 26,46 | 26,46 | 26,46 | 26,46
4 | 24,46 | 24,46 | 24,46 | 24,46
4 | 24,92 | 24,92 | 24,92 | 24,92
3 | 22,92 | 22,92 | 22,92 | 22,92
2 | 22,15 | 22,15 | 22,15 | 22,15
2 | 21,85 | 21,85 | 21,85 | 21,85
